survived,pclass,sex,age,sibsp,parch,fare,embark_town,alone
1,3,female,29.809792899408283,0,0,7.7875,Queenstown,True
0,1,male,28.0,0,0,47.1,Southampton,True
1,2,female,17.0,0,0,10.5,Southampton,True
1,3,female,33.0,3,0,15.85,Southampton,False
0,3,male,16.0,1,3,34.375,Southampton,False
1,1,female,23.0,3,2,263.0,Southampton,False
0,3,male,24.0,0,0,8.05,Southampton,True
0,3,male,29.0,0,0,8.05,Southampton,True
0,3,male,20.0,0,0,7.8542,Southampton,True
0,1,male,46.0,1,0,61.175,Southampton,False
0,3,male,26.0,1,2,20.575,Southampton,False
0,3,male,59.0,0,0,7.25,Southampton,True
0,1,male,71.0,0,0,34.6542,Cherbourg,True
1,1,male,23.0,0,1,63.3583,Cherbourg,False
1,2,female,34.0,0,1,23.0,Southampton,False
0,2,male,34.0,1,0,26.0,Southampton,False
0,3,female,28.0,0,0,7.8958,Southampton,True
0,1,male,21.0,0,1,77.2875,Southampton,False
0,3,male,33.0,0,0,8.6542,Southampton,True
0,3,male,37.0,2,0,7.925,Southampton,False
0,3,male,28.0,0,0,7.8958,Southampton,True
1,3,female,21.0,0,0,7.65,Southampton,True
1,3,male,29.809792899408283,0,0,7.775,Southampton,True
0,3,male,38.0,0,0,7.8958,Southampton,True
1,3,female,29.809792899408283,1,0,24.15,Queenstown,False
0,1,male,47.0,0,0,52.0,Southampton,True
0,3,female,14.5,1,0,14.4542,Cherbourg,False
0,3,male,22.0,0,0,8.05,Southampton,True
0,3,female,20.0,1,0,9.825,Southampton,False
0,3,female,17.0,0,0,14.4583,Cherbourg,True
0,3,male,21.0,0,0,7.925,Southampton,True
0,3,male,70.5,0,0,7.75,Queenstown,True
0,2,male,29.0,1,0,21.0,Southampton,False
0,1,male,24.0,0,1,247.5208,Cherbourg,False
0,3,female,2.0,4,2,31.275,Southampton,False
0,2,male,21.0,2,0,73.5,Southampton,False
0,2,male,32.5,1,0,30.0708,Cherbourg,False
1,2,female,32.5,0,0,13.0,Southampton,True
0,1,male,54.0,0,1,77.2875,Southampton,False
1,3,male,12.0,1,0,11.2417,Cherbourg,False
0,3,male,29.809792899408283,0,0,7.75,Queenstown,True
1,3,male,24.0,0,0,7.1417,Southampton,True
1,3,female,29.809792899408283,1,1,22.3583,Cherbourg,False
0,3,male,45.0,0,0,6.975,Southampton,True
0,3,male,33.0,0,0,7.8958,Cherbourg,True
0,3,male,20.0,0,0,7.05,Southampton,True
0,3,female,47.0,1,0,14.5,Southampton,False
0,2,male,25.0,0,0,13.0,Southampton,True
0,2,male,23.0,0,0,15.0458,Cherbourg,True
1,1,female,19.0,0,2,26.2833,Southampton,False
0,1,male,37.0,1,0,53.1,Southampton,False
0,3,male,16.0,0,0,9.2167,Southampton,True
0,1,male,24.0,0,0,79.2,Cherbourg,True
0,3,female,29.809792899408283,0,2,15.2458,Cherbourg,False
1,3,female,22.0,0,0,7.75,Southampton,True
1,3,female,24.0,1,0,15.85,Southampton,False
0,3,male,19.0,0,0,6.75,Queenstown,True
0,2,male,18.0,0,0,11.5,Southampton,True
0,2,male,19.0,1,1,36.75,Southampton,False
1,3,male,27.0,0,0,7.7958,Southampton,True
0,3,female,9.0,2,2,34.375,Southampton,False
0,2,male,36.5,0,2,26.0,Southampton,False
0,2,male,42.0,0,0,13.0,Southampton,True
0,2,male,51.0,0,0,12.525,Southampton,True
1,1,female,22.0,1,0,66.6,Southampton,False
0,3,male,55.5,0,0,8.05,Southampton,True
0,3,male,40.5,0,2,14.5,Southampton,False
0,3,male,29.809792899408283,0,0,7.3125,Southampton,True
0,1,male,51.0,0,1,61.3792,Cherbourg,False
1,3,female,16.0,0,0,7.7333,Queenstown,True
0,3,male,30.0,0,0,8.05,Southampton,True
0,3,male,29.809792899408283,0,0,8.6625,Southampton,True
0,3,male,29.809792899408283,8,2,69.55,Southampton,False
0,3,male,44.0,0,1,16.1,Southampton,False
1,2,female,40.0,0,0,15.75,Southampton,True
0,3,male,26.0,0,0,7.775,Southampton,True
0,3,male,17.0,0,0,8.6625,Southampton,True
0,3,male,1.0,4,1,39.6875,Southampton,False
1,3,male,9.0,0,2,20.525,Southampton,False
1,1,female,29.809792899408283,0,1,55.0,Southampton,False
0,3,female,45.0,1,4,27.9,Southampton,False
0,1,male,29.809792899408283,0,0,25.925,Southampton,True
0,3,male,28.0,0,0,56.4958,Southampton,True
0,1,male,61.0,0,0,33.5,Southampton,True
0,3,male,4.0,4,1,29.125,Queenstown,False
1,3,female,1.0,1,1,11.1333,Southampton,False
0,1,male,56.0,0,0,30.6958,Cherbourg,True
0,3,male,18.0,1,1,7.8542,Southampton,False
0,3,male,29.809792899408283,3,1,25.4667,Southampton,False
0,1,female,50.0,0,0,28.7125,Cherbourg,True
0,2,male,30.0,0,0,13.0,Southampton,True
0,3,male,36.0,0,0,0.0,Southampton,True
0,3,female,29.809792899408283,8,2,69.55,Southampton,False
0,2,male,29.809792899408283,0,0,15.05,Cherbourg,True
0,3,male,9.0,4,2,31.3875,Southampton,False
1,2,male,1.0,2,1,39.0,Southampton,False
1,3,female,4.0,0,2,22.025,Southampton,False
0,1,male,29.809792899408283,0,0,50.0,Southampton,True
1,3,female,29.809792899408283,1,0,15.5,Queenstown,False
1,1,male,45.0,0,0,26.55,Southampton,True
0,3,male,40.0,1,1,15.5,Queenstown,False
0,3,male,36.0,0,0,7.8958,Southampton,True
1,2,female,32.0,0,0,13.0,Southampton,True
0,2,male,19.0,0,0,13.0,Southampton,True
1,3,female,19.0,1,0,7.8542,Southampton,False
1,2,male,3.0,1,1,26.0,Southampton,False
1,1,female,44.0,0,0,27.7208,Cherbourg,True
1,1,female,58.0,0,0,146.5208,Cherbourg,True
0,3,male,42.0,0,1,8.4042,Southampton,False
0,2,female,24.0,0,0,13.0,Southampton,True
0,3,male,28.0,0,0,9.5,Southampton,True
0,3,male,34.0,0,0,6.4958,Southampton,True
0,3,male,45.5,0,0,7.225,Cherbourg,True
1,3,male,18.0,0,0,8.05,Southampton,True
0,3,female,2.0,0,1,10.4625,Southampton,False
0,3,male,32.0,1,0,15.85,Southampton,False
1,3,male,26.0,0,0,18.7875,Cherbourg,True
1,3,female,16.0,0,0,7.75,Queenstown,True
1,1,male,40.0,0,0,31.0,Cherbourg,True
0,3,male,24.0,0,0,7.05,Southampton,True
1,2,female,35.0,0,0,21.0,Southampton,True
0,3,male,22.0,0,0,7.25,Southampton,True
0,3,male,29.809792899408283,1,0,7.75,Queenstown,False
1,1,female,31.0,1,0,113.275,Cherbourg,False
1,3,female,27.0,0,0,7.925,Southampton,True
0,2,male,42.0,1,0,27.0,Southampton,False
1,1,female,32.0,0,0,76.2917,Cherbourg,True
0,2,male,30.0,0,0,10.5,Southampton,True
1,3,male,16.0,0,0,8.05,Southampton,True
0,2,male,27.0,0,0,13.0,Southampton,True
0,3,male,51.0,0,0,8.05,Southampton,True
1,1,male,38.0,1,0,90.0,Southampton,False
0,3,male,22.0,0,0,9.35,Southampton,True
1,2,male,19.0,0,0,10.5,Southampton,True
0,3,male,20.5,0,0,7.25,Southampton,True
0,2,male,18.0,0,0,13.0,Southampton,True
0,3,female,29.809792899408283,3,1,25.4667,Southampton,False
1,1,female,35.0,1,0,83.475,Southampton,False
0,3,male,29.0,0,0,7.775,Southampton,True
0,2,male,59.0,0,0,13.5,Southampton,True
1,3,female,5.0,4,2,31.3875,Southampton,False
0,2,male,24.0,0,0,10.5,Southampton,True
0,3,female,29.809792899408283,0,0,7.55,Southampton,True
0,2,male,44.0,1,0,26.0,Southampton,False
1,2,female,8.0,0,2,26.25,Southampton,False
0,2,male,19.0,0,0,10.5,Southampton,True
0,2,male,33.0,0,0,12.275,Southampton,True
0,3,female,29.809792899408283,1,0,14.4542,Cherbourg,False
0,2,male,29.0,0,0,10.5,Southampton,True
0,3,male,22.0,0,0,7.125,Southampton,True
0,3,male,30.0,0,0,7.225,Cherbourg,True
0,1,male,44.0,2,0,90.0,Queenstown,False
0,3,female,25.0,0,0,7.775,Southampton,True
1,2,female,24.0,0,2,14.5,Southampton,False
1,1,male,37.0,1,1,52.5542,Southampton,False
0,2,male,54.0,1,0,26.0,Southampton,False
0,3,male,29.809792899408283,0,0,7.25,Southampton,True
0,3,female,29.0,1,1,10.4625,Southampton,False
0,1,male,62.0,0,0,26.55,Southampton,True
0,3,male,30.0,1,0,16.1,Southampton,False
0,3,female,41.0,0,2,20.2125,Southampton,False
1,3,female,29.0,0,2,15.2458,Cherbourg,False
1,1,female,29.809792899408283,0,0,79.2,Cherbourg,True
1,1,female,30.0,0,0,86.5,Southampton,True
1,1,female,35.0,0,0,512.3292,Cherbourg,True
1,2,female,50.0,0,1,26.0,Southampton,False
1,3,male,3.0,4,2,31.3875,Southampton,False
0,1,male,52.0,1,1,79.65,Southampton,False
0,1,male,40.0,0,0,0.0,Southampton,True
0,3,female,29.809792899408283,0,0,7.75,Queenstown,True
0,2,male,36.0,0,0,10.5,Southampton,True
0,3,male,16.0,4,1,39.6875,Southampton,False
1,3,male,25.0,1,0,7.775,Southampton,False
1,1,female,58.0,0,1,153.4625,Southampton,False
1,1,female,35.0,0,0,135.6333,Southampton,True
0,1,male,29.809792899408283,0,0,31.0,Southampton,True
1,3,male,25.0,0,0,0.0,Southampton,True
1,2,female,41.0,0,1,19.5,Southampton,False
0,1,male,37.0,0,1,29.7,Cherbourg,False
1,1,female,63.0,1,0,77.9583,Southampton,False
0,3,female,45.0,0,0,7.75,Southampton,True
0,2,male,29.809792899408283,0,0,0.0,Southampton,True
0,3,male,7.0,4,1,29.125,Queenstown,False
1,3,female,35.0,1,1,20.25,Southampton,False
0,3,male,65.0,0,0,7.75,Queenstown,True
0,3,male,28.0,0,0,7.8542,Southampton,True
0,3,male,16.0,0,0,9.5,Southampton,True
1,3,male,19.0,0,0,8.05,Southampton,True
0,1,male,29.809792899408283,0,0,26.0,Southampton,True
0,3,male,33.0,0,0,8.6625,Cherbourg,True
1,3,male,30.0,0,0,9.5,Southampton,True
0,3,male,22.0,0,0,7.8958,Southampton,True
1,2,male,42.0,0,0,13.0,Southampton,True
1,3,female,22.0,0,0,7.75,Queenstown,True
1,1,female,26.0,0,0,78.85,Southampton,True
1,1,female,19.0,1,0,91.0792,Cherbourg,False
0,2,male,36.0,0,0,12.875,Cherbourg,True
0,3,female,24.0,0,0,8.85,Southampton,True
0,3,male,24.0,0,0,7.8958,Southampton,True
0,3,male,23.5,0,0,7.2292,Cherbourg,True
0,1,female,2.0,1,2,151.55,Southampton,False
1,1,male,29.809792899408283,0,0,30.5,Southampton,True
1,1,female,50.0,0,1,247.5208,Cherbourg,False
1,3,male,29.809792899408283,2,0,23.25,Queenstown,False
0,3,male,19.0,0,0,0.0,Southampton,True
1,2,female,29.809792899408283,0,0,12.35,Queenstown,True
1,1,male,0.92,1,2,151.55,Southampton,False
1,1,female,29.809792899408283,0,0,110.8833,Cherbourg,True
1,1,female,17.0,1,0,108.9,Cherbourg,False
0,2,male,30.0,1,0,24.0,Cherbourg,False
1,1,female,30.0,0,0,56.9292,Cherbourg,True
1,1,female,24.0,0,0,83.1583,Cherbourg,True
1,1,female,18.0,2,2,262.375,Cherbourg,False
0,2,female,26.0,1,1,26.0,Southampton,False
0,2,male,43.0,1,1,26.25,Southampton,False
1,3,female,26.0,0,0,7.8542,Southampton,True
1,2,female,24.0,1,0,26.0,Southampton,False
0,2,male,54.0,0,0,14.0,Southampton,True
1,1,female,31.0,0,2,164.8667,Southampton,False
1,1,female,40.0,1,1,134.5,Cherbourg,False
0,3,male,27.0,0,0,7.8958,Southampton,True
1,2,female,30.0,0,0,12.35,Queenstown,True
1,2,female,22.0,1,1,29.0,Southampton,False
1,1,female,36.0,0,0,135.6333,Cherbourg,True
0,3,male,61.0,0,0,6.2375,Southampton,True
1,2,female,36.0,0,0,13.0,Southampton,True
1,3,female,31.0,1,1,20.525,Southampton,False
1,1,female,16.0,0,1,57.9792,Cherbourg,False
1,3,female,29.809792899408283,2,0,23.25,Queenstown,False
0,1,male,45.5,0,0,28.5,Southampton,True
0,1,male,38.0,0,1,153.4625,Southampton,False
0,3,male,16.0,2,0,18.0,Southampton,False
1,1,female,29.809792899408283,1,0,133.65,Southampton,False
0,1,male,29.0,1,0,66.6,Southampton,False
1,1,female,41.0,0,0,134.5,Cherbourg,True
1,3,male,45.0,0,0,8.05,Southampton,True
0,1,male,45.0,0,0,35.5,Southampton,True
1,2,male,2.0,1,1,26.0,Southampton,False
1,1,female,24.0,3,2,263.0,Southampton,False
0,2,male,28.0,0,0,13.0,Southampton,True
0,2,male,36.0,0,0,13.0,Southampton,True
1,2,female,24.0,0,0,13.0,Southampton,True
1,2,female,40.0,0,0,13.0,Southampton,True
1,3,female,29.809792899408283,1,0,16.1,Southampton,False
1,3,male,3.0,1,1,15.9,Southampton,False
0,3,male,42.0,0,0,8.6625,Southampton,True
0,3,male,23.0,0,0,9.225,Southampton,True
0,1,male,29.809792899408283,0,0,35.0,Southampton,True
0,3,male,15.0,1,1,7.2292,Cherbourg,False
0,3,male,25.0,1,0,17.8,Southampton,False
1,1,female,22.0,0,1,55.0,Southampton,False
0,2,female,38.0,0,0,13.0,Southampton,True
0,3,male,40.0,1,4,27.9,Southampton,False
0,2,male,29.0,1,0,27.7208,Cherbourg,False
0,3,female,45.0,0,1,14.4542,Cherbourg,False
0,3,male,35.0,0,0,7.05,Southampton,True
0,3,male,30.0,0,0,7.25,Southampton,True
1,1,female,60.0,1,0,75.25,Cherbourg,False
1,3,female,29.809792899408283,0,0,7.2292,Cherbourg,True
1,1,female,24.0,0,0,69.3,Cherbourg,True
1,1,male,25.0,1,0,55.4417,Cherbourg,False
0,3,male,18.0,1,0,6.4958,Southampton,False
0,3,male,19.0,0,0,8.05,Southampton,True
0,1,male,22.0,0,0,135.6333,Cherbourg,True
0,3,female,3.0,3,1,21.075,Southampton,False
1,1,female,29.809792899408283,1,0,82.1708,Cherbourg,False
1,3,female,22.0,0,0,7.25,Southampton,True
0,1,male,27.0,0,2,211.5,Cherbourg,False
0,3,male,20.0,0,0,4.0125,Cherbourg,True
0,3,male,19.0,0,0,7.775,Southampton,True
1,1,female,42.0,0,0,227.525,Cherbourg,True
1,3,female,1.0,0,2,15.7417,Cherbourg,False
0,3,male,32.0,0,0,7.925,Southampton,True
1,1,female,35.0,1,0,52.0,Southampton,False
0,2,male,18.0,0,0,73.5,Southampton,True
0,3,male,1.0,5,2,46.9,Southampton,False
1,2,female,36.0,0,0,13.0,Southampton,True
0,3,male,29.809792899408283,0,0,7.7292,Queenstown,True
1,2,female,17.0,0,0,12.0,Cherbourg,True
1,1,male,36.0,1,2,120.0,Southampton,False
1,3,male,21.0,0,0,7.7958,Southampton,True
0,3,male,28.0,2,0,7.925,Southampton,False
1,1,female,23.0,1,0,113.275,Cherbourg,False
1,3,female,24.0,0,2,16.7,Southampton,False
0,3,male,22.0,0,0,7.7958,Southampton,True
0,3,female,31.0,0,0,7.8542,Southampton,True
0,2,male,46.0,0,0,26.0,Southampton,True
0,2,male,23.0,0,0,10.5,Southampton,True
1,2,female,28.0,0,0,12.65,Southampton,True
1,3,male,39.0,0,0,7.925,Southampton,True
0,3,male,26.0,0,0,8.05,Southampton,True
0,3,female,21.0,1,0,9.825,Southampton,False
0,3,male,28.0,1,0,15.85,Southampton,False
0,3,female,20.0,0,0,8.6625,Southampton,True
0,2,male,34.0,1,0,21.0,Southampton,False
0,3,male,51.0,0,0,7.75,Southampton,True
1,2,male,3.0,1,1,18.75,Southampton,False
0,3,male,21.0,0,0,7.775,Southampton,True
0,3,male,29.809792899408283,0,0,6.8583,Queenstown,True
1,1,female,33.0,1,0,90.0,Queenstown,False
1,3,male,44.0,0,0,7.925,Southampton,True
0,3,female,29.809792899408283,0,0,8.05,Southampton,True
1,2,female,34.0,1,1,32.5,Southampton,False
1,2,female,18.0,0,2,13.0,Southampton,False
0,3,female,10.0,0,2,24.15,Southampton,False
0,3,male,21.0,0,0,7.7333,Queenstown,True
0,3,male,29.0,0,0,7.875,Southampton,True
0,3,female,28.0,1,1,14.4,Southampton,False
0,3,male,18.0,1,1,20.2125,Southampton,False
1,2,female,28.0,1,0,26.0,Southampton,False
1,2,female,19.0,0,0,26.0,Southampton,True
1,3,male,32.0,0,0,8.05,Southampton,True
1,1,male,28.0,0,0,26.55,Southampton,True
1,2,female,42.0,1,0,26.0,Southampton,False
0,3,male,17.0,0,0,7.125,Southampton,True
0,1,male,50.0,1,0,55.9,Southampton,False
1,1,female,14.0,1,2,120.0,Southampton,False
0,3,female,21.0,2,2,34.375,Southampton,False
1,2,female,24.0,2,3,18.75,Southampton,False
0,1,male,64.0,1,4,263.0,Southampton,False
0,2,male,31.0,0,0,10.5,Southampton,True
1,2,female,45.0,1,1,26.25,Southampton,False
0,3,male,20.0,0,0,9.5,Southampton,True
0,3,male,25.0,1,0,7.775,Southampton,False
1,2,female,28.0,0,0,13.0,Southampton,True
1,3,male,29.809792899408283,0,0,8.1125,Southampton,True
1,1,male,4.0,0,2,81.8583,Southampton,False
1,2,female,13.0,0,1,19.5,Southampton,False
1,1,male,34.0,0,0,26.55,Southampton,True
1,3,female,5.0,2,1,19.2583,Cherbourg,False
1,1,male,52.0,0,0,30.5,Southampton,True
0,2,male,36.0,1,2,27.75,Southampton,False
0,3,male,29.809792899408283,1,0,19.9667,Southampton,False
0,1,male,30.0,0,0,27.75,Cherbourg,True
1,1,male,49.0,1,0,89.1042,Cherbourg,False
1,3,male,29.0,0,0,7.8958,Cherbourg,True
0,1,male,65.0,0,0,26.55,Southampton,True
1,1,female,29.809792899408283,1,0,51.8625,Southampton,False
1,2,female,50.0,0,0,10.5,Southampton,True
1,1,male,48.0,0,0,26.55,Southampton,True
0,3,male,34.0,0,0,8.05,Southampton,True
0,1,male,47.0,0,0,38.5,Southampton,True
0,2,male,48.0,0,0,13.0,Southampton,True
0,3,male,38.0,0,0,7.05,Southampton,True
0,1,male,56.0,0,0,26.55,Southampton,True
0,3,male,29.809792899408283,0,0,7.725,Queenstown,True
1,3,female,0.75,2,1,19.2583,Cherbourg,False
0,3,male,38.0,0,0,8.6625,Southampton,True
1,2,female,33.0,1,2,27.75,Southampton,False
1,2,female,23.0,0,0,13.7917,Cherbourg,True
0,3,female,22.0,0,0,9.8375,Southampton,True
0,1,male,29.809792899408283,0,0,52.0,Southampton,True
0,3,male,29.0,1,0,7.0458,Southampton,False
0,3,male,22.0,0,0,7.5208,Southampton,True
1,3,female,2.0,0,1,12.2875,Southampton,False
0,3,male,9.0,5,2,46.9,Southampton,False
0,3,male,50.0,0,0,8.05,Southampton,True
1,3,female,63.0,0,0,9.5875,Southampton,True
1,1,male,25.0,1,0,91.0792,Cherbourg,False
1,1,female,35.0,1,0,90.0,Southampton,False
0,1,male,58.0,0,0,29.7,Cherbourg,True
1,3,male,9.0,1,1,15.9,Southampton,False
0,3,male,21.0,0,0,7.25,Southampton,True
0,1,male,55.0,0,0,30.5,Southampton,True
0,1,male,71.0,0,0,49.5042,Cherbourg,True
0,3,male,29.809792899408283,0,0,14.4583,Cherbourg,True
1,1,female,54.0,1,0,78.2667,Cherbourg,False
0,3,male,29.809792899408283,0,0,15.1,Southampton,True
0,1,female,25.0,1,2,151.55,Southampton,False
0,3,male,24.0,0,0,7.7958,Southampton,True
0,3,female,21.0,0,0,7.75,Queenstown,True
0,3,female,29.809792899408283,0,0,7.6292,Queenstown,True
0,3,female,37.0,0,0,9.5875,Southampton,True
1,1,female,16.0,0,0,86.5,Southampton,True
0,1,male,18.0,1,0,108.9,Cherbourg,False
1,2,female,33.0,0,2,26.0,Southampton,False
1,1,male,29.809792899408283,0,0,26.55,Southampton,True
0,3,male,28.0,0,0,22.525,Southampton,True
1,3,male,26.0,0,0,56.4958,Southampton,True
1,3,male,29.0,0,0,7.75,Queenstown,True
1,1,male,36.0,0,0,26.2875,Southampton,True
1,1,female,54.0,1,0,59.4,Cherbourg,False
0,3,male,24.0,0,0,7.4958,Southampton,True
0,1,male,47.0,0,0,34.0208,Southampton,True
1,2,female,34.0,0,0,10.5,Southampton,True
0,3,male,29.809792899408283,0,0,24.15,Queenstown,True
1,2,female,36.0,1,0,26.0,Southampton,False
0,3,male,32.0,0,0,7.8958,Southampton,True
1,1,female,30.0,0,0,93.5,Southampton,True
1,1,female,44.0,0,1,57.9792,Cherbourg,False
0,3,male,29.809792899408283,0,0,7.2292,Cherbourg,True
0,3,male,40.5,0,0,7.75,Queenstown,True
0,1,male,29.809792899408283,0,0,221.7792,Southampton,True
0,3,male,39.0,0,0,7.925,Southampton,True
0,2,male,23.0,2,1,11.5,Southampton,False
1,2,female,2.0,1,1,26.0,Southampton,False
0,3,male,17.0,1,1,7.2292,Cherbourg,False
1,3,female,29.809792899408283,0,2,22.3583,Cherbourg,False
0,3,female,30.0,0,0,8.6625,Southampton,True
1,2,female,7.0,0,2,26.25,Southampton,False
0,1,male,45.0,0,0,26.55,Southampton,True
1,1,female,30.0,0,0,106.425,Cherbourg,True
0,3,male,29.809792899408283,0,0,14.5,Southampton,True
1,1,female,22.0,0,2,49.5,Cherbourg,False
1,1,female,36.0,0,2,71.0,Southampton,False
0,3,female,9.0,4,2,31.275,Southampton,False
0,3,female,11.0,4,2,31.275,Southampton,False
1,2,male,32.0,1,0,26.0,Southampton,False
0,1,male,50.0,1,0,106.425,Cherbourg,False
0,1,male,64.0,0,0,26.0,Southampton,True
1,2,female,19.0,1,0,26.0,Southampton,False
1,2,male,29.809792899408283,0,0,13.8625,Cherbourg,True
0,3,male,33.0,1,1,20.525,Southampton,False
1,2,male,8.0,1,1,36.75,Southampton,False
1,1,male,17.0,0,2,110.8833,Cherbourg,False
0,2,male,27.0,0,0,26.0,Southampton,True
0,3,male,29.809792899408283,0,0,7.8292,Queenstown,True
1,3,male,22.0,0,0,7.225,Cherbourg,True
1,3,female,22.0,0,0,7.775,Southampton,True
0,1,male,62.0,0,0,26.55,Southampton,True
1,1,female,48.0,1,0,39.6,Cherbourg,False
0,1,male,29.809792899408283,0,0,227.525,Cherbourg,True
1,1,female,39.0,1,1,79.65,Southampton,False
1,3,female,36.0,1,0,17.4,Southampton,False
0,3,male,40.0,0,0,7.8958,Southampton,True
0,2,male,28.0,0,0,13.5,Southampton,True
0,3,male,24.0,2,0,24.15,Southampton,False
0,3,male,19.0,0,0,7.8958,Southampton,True
0,3,female,29.0,0,4,21.075,Southampton,False
1,3,male,32.0,0,0,7.8542,Southampton,True
1,2,male,62.0,0,0,10.5,Southampton,True
1,1,female,53.0,2,0,51.4792,Southampton,False
1,1,male,36.0,0,0,26.3875,Southampton,True
0,3,male,16.0,0,0,8.05,Southampton,True
0,3,male,19.0,0,0,14.5,Southampton,True
1,2,female,34.0,0,0,13.0,Southampton,True
1,1,female,39.0,1,0,55.9,Southampton,False
0,3,female,29.809792899408283,1,0,14.4583,Cherbourg,False
1,3,male,32.0,0,0,7.925,Southampton,True
1,2,female,25.0,1,1,30.0,Southampton,False
1,1,female,39.0,1,1,110.8833,Cherbourg,False
0,2,male,54.0,0,0,26.0,Southampton,True
0,1,male,36.0,0,0,40.125,Cherbourg,True
0,3,male,29.809792899408283,0,0,8.7125,Cherbourg,True
1,1,female,18.0,0,2,79.65,Southampton,False
0,2,male,47.0,0,0,15.0,Southampton,True
1,1,male,60.0,1,1,79.2,Cherbourg,False
0,3,male,35.0,0,0,7.125,Southampton,True
1,1,female,52.0,1,0,78.2667,Cherbourg,False
0,3,male,47.0,0,0,7.25,Southampton,True
